WetPeriod,Station,Start of Wetting Period,End of Wetting Period,Duration (Hrs.),Avg. Temp(F),Rainfall (in.),Anthracnose risk,Wet hrs @ avg temp required for infection,Progress toward infection
253,East Lansing (MSUHort),10/22/2016 3:00,10/22/2016 6:50,3.9,37.2,0,None,0,0%
254,East Lansing (MSUHort),10/23/2016 3:50,10/23/2016 10:30,6.8,41.5,0,None,32.4,16%
255,East Lansing (MSUHort),10/25/2016 0:30,10/25/2016 10:00,9.6,32.8,0,None,0,0%
256,East Lansing (MSUHort),10/25/2016 19:40,10/27/2016 14:30,42.9,38.1,0.58,None,0,33%
257,East Lansing (MSUHort),10/27/2016 22:50,10/28/2016 10:35,11.8,34.6,0,None,0,4%
258,East Lansing (MSUHort),10/29/2016 19:45,10/30/2016 0:25,4.8,56.9,0,None,16.4,30%
259,East Lansing (MSUHort),10/30/2016 2:35,10/30/2016 2:55,0.4,52.5,0,None,18.6,2%
260,East Lansing (MSUHort),10/30/2016 5:40,10/30/2016 10:50,5.3,43.9,0.2,None,27.6,23%
261,East Lansing (MSUHort),10/30/2016 22:50,10/31/2016 10:00,11.3,34.8,0,None,0,0%
262,East Lansing (MSUHort),11/1/2016 20:30,11/2/2016 10:30,14.1,54.3,0,None,17.5,87%
263,East Lansing (MSUHort),11/2/2016 12:55,11/3/2016 7:50,19,53.6,0.51,Low,18.1,110%
264,East Lansing (MSUHort),11/3/2016 19:40,11/3/2016 22:00,2.4,48.6,0,None,21.2,11%
265,East Lansing (MSUHort),11/4/2016 1:20,11/4/2016 9:55,8.7,39.5,0,None,0,11%
266,East Lansing (MSUHort),11/4/2016 20:05,11/5/2016 9:25,13.4,40.4,0,None,34.8,30%
267,East Lansing (MSUHort),11/5/2016 19:35,11/6/2016 10:20,14.8,39.8,0,None,0,25%
268,East Lansing (MSUHort),11/6/2016 19:55,11/7/2016 10:05,14.3,41.4,0,None,32.4,31%
269,East Lansing (MSUHort),11/7/2016 21:20,11/8/2016 6:30,9.3,41.7,0,None,32.4,21%
270,East Lansing (MSUHort),11/8/2016 15:55,11/8/2016 15:55,0.1,56.7,0,None,16.4,1%
271,East Lansing (MSUHort),11/9/2016 23:25,11/10/2016 3:45,4.4,40.1,0,None,34.8,7%
272,East Lansing (MSUHort),11/11/2016 23:15,11/12/2016 11:20,12.2,26.7,0,None,0,0%
273,East Lansing (MSUHort),11/15/2016 2:00,11/15/2016 10:55,9,35.7,0,None,0,2%
274,East Lansing (MSUHort),11/15/2016 21:40,11/16/2016 10:45,13.2,40.6,0,None,34.8,24%
275,East Lansing (MSUHort),11/16/2016 19:00,11/17/2016 9:35,14.7,36.6,0,None,0,8%
276,East Lansing (MSUHort),11/18/2016 20:20,11/19/2016 1:10,4.9,47.9,0.34,None,22,31%
277,East Lansing (MSUHort),11/19/2016 9:45,11/19/2016 13:00,3.3,33.2,0.01,None,0,0%
278,East Lansing (MSUHort),11/22/2016 8:20,11/22/2016 9:30,1.3,21.9,0,None,0,0%
279,East Lansing (MSUHort),11/23/2016 8:55,11/24/2016 12:55,28.1,36.7,0.4,None,0,13%
280,East Lansing (MSUHort),11/24/2016 17:35,11/25/2016 11:00,17.5,38.6,0.02,None,0,10%
281,East Lansing (MSUHort),11/25/2016 15:25,11/26/2016 10:00,18.7,35.4,0.04,None,0,0%
282,East Lansing (MSUHort),11/26/2016 23:55,11/27/2016 10:45,10.9,31.6,0,None,0,0%
283,East Lansing (MSUHort),11/28/2016 8:10,11/28/2016 8:55,0.8,38.6,0.01,None,0,0%
284,East Lansing (MSUHort),11/28/2016 16:10,11/29/2016 4:50,12.8,46.9,0.54,None,22.8,58%
285,East Lansing (MSUHort),11/29/2016 22:10,11/30/2016 13:10,15.1,42.5,0.02,None,30,42%
286,East Lansing (MSUHort),11/30/2016 23:25,12/1/2016 0:15,0.9,36.4,0.01,None,0,0%
287,East Lansing (MSUHort),12/1/2016 11:05,12/1/2016 18:10,7.2,34.2,0.02,None,0,2%
288,East Lansing (MSUHort),12/2/2016 2:10,12/2/2016 8:40,6.6,36.1,0,None,0,0%
289,East Lansing (MSUHort),12/4/2016 17:50,12/5/2016 12:35,18.8,32.8,0.23,None,0,0%
290,East Lansing (MSUHort),12/5/2016 21:20,12/6/2016 9:50,12.6,30,0,None,0,0%
291,East Lansing (MSUHort),12/12/2016 6:35,12/12/2016 7:30,1,32.9,0,None,0,0%
292,East Lansing (MSUHort),12/20/2016 15:00,12/20/2016 15:00,0.1,28.9,0.01,None,0,0%
293,East Lansing (MSUHort),12/22/2016 11:05,12/22/2016 11:05,0.1,35.1,0.01,None,0,0%
294,East Lansing (MSUHort),12/23/2016 20:45,12/24/2016 10:25,13.8,33.6,0.09,None,0,0%
295,East Lansing (MSUHort),12/25/2016 22:20,12/26/2016 14:35,16.3,40.3,0.15,None,34.8,31%
1,East Lansing (MSUHort),1/2/2017 18:00,1/4/2017 1:40,31.8,35.5,0.5,None,0,0%
2,East Lansing (MSUHort),1/10/2017 10:00,1/10/2017 21:25,11.5,38.8,0.42,None,0,18%
3,East Lansing (MSUHort),1/11/2017 18:10,1/19/2017 11:05,185,28.4,1.18,None,0,18%
4,East Lansing (MSUHort),1/20/2017 3:40,1/24/2017 14:30,106.9,39.1,0.43,None,0,143%
5,East Lansing (MSUHort),1/25/2017 2:15,1/25/2017 10:10,8,34.7,0.02,None,0,0%
6,East Lansing (MSUHort),1/25/2017 15:05,1/25/2017 22:55,7.9,37.2,0.02,None,0,3%
7,East Lansing (MSUHort),1/26/2017 2:55,1/26/2017 13:45,10.9,33.3,0.11,None,0,0%
8,East Lansing (MSUHort),1/31/2017 18:00,1/31/2017 18:00,0.1,28.3,0.01,None,0,0%
9,East Lansing (MSUHort),2/1/2017 14:10,2/1/2017 15:55,1.8,31.7,0.09,None,0,0%
10,East Lansing (MSUHort),2/6/2017 6:30,2/6/2017 9:00,2.6,17.2,0,None,0,0%
11,East Lansing (MSUHort),2/7/2017 1:20,2/8/2017 2:55,25.7,36.3,0.58,None,0,16%
12,East Lansing (MSUHort),2/11/2017 19:35,2/12/2017 13:50,18.3,34.9,0.23,None,0,0%
13,East Lansing (MSUHort),2/14/2017 19:55,2/14/2017 23:15,3.4,33.4,0.07,None,0,0%
14,East Lansing (MSUHort),2/19/2017 0:30,2/19/2017 8:55,8.5,32.6,0,None,0,0%
15,East Lansing (MSUHort),2/19/2017 23:20,2/20/2017 2:55,3.7,33.4,0,None,0,0%
16,East Lansing (MSUHort),2/21/2017 9:00,2/21/2017 11:30,2.6,38.7,0,None,0,13%
17,East Lansing (MSUHort),2/21/2017 19:30,2/22/2017 9:40,14.3,43.8,0,None,27.6,47%
18,East Lansing (MSUHort),2/23/2017 22:25,2/24/2017 23:00,24.7,44.4,0.51,None,25.2,71%
19,East Lansing (MSUHort),2/28/2017 5:55,3/1/2017 12:10,30.3,48.8,1.16,Low,21.2,148%
20,East Lansing (MSUHort),3/5/2017 19:55,3/5/2017 20:20,0.5,37.8,0,None,0,0%
21,East Lansing (MSUHort),3/7/2017 4:25,3/7/2017 5:45,1.4,39.2,0.05,None,0,9%
22,East Lansing (MSUHort),3/14/2017 4:40,3/14/2017 8:50,4.3,13.4,0,None,0,0%
23,East Lansing (MSUHort),3/17/2017 21:15,3/18/2017 22:45,25.6,33.8,0.29,None,0,0%
24,East Lansing (MSUHort),3/20/2017 1:50,3/20/2017 5:35,3.8,34.2,0.04,None,0,0%
25,East Lansing (MSUHort),3/20/2017 20:35,3/21/2017 8:00,11.5,37.2,0,None,0,12%
26,East Lansing (MSUHort),3/23/2017 21:35,3/24/2017 0:55,3.4,35.6,0.23,None,0,0%
27,East Lansing (MSUHort),3/24/2017 22:25,3/27/2017 12:10,61.8,43.8,0.81,High,27.6,194%
28,East Lansing (MSUHort),3/28/2017 2:50,3/28/2017 9:55,7.2,40.7,0,None,34.8,16%
29,East Lansing (MSUHort),3/28/2017 20:05,3/29/2017 8:05,12.1,32.4,0,None,0,0%
30,East Lansing (MSUHort),3/29/2017 22:50,3/31/2017 22:35,47.8,36.4,1.1,None,0,1%
31,East Lansing (MSUHort),4/1/2017 5:50,4/1/2017 7:05,1.3,32.7,0,None,0,0%
32,East Lansing (MSUHort),4/1/2017 21:10,4/2/2017 7:45,10.7,34.5,0,None,0,0%
33,East Lansing (MSUHort),4/2/2017 20:15,4/2/2017 23:25,3.3,40.6,0,None,34.8,16%
34,East Lansing (MSUHort),4/3/2017 12:25,4/3/2017 13:35,1.3,44.8,0,None,25.2,6%
35,East Lansing (MSUHort),4/3/2017 16:50,4/4/2017 13:10,20.4,48.6,0.92,None,21.2,96%
36,East Lansing (MSUHort),4/4/2017 22:50,4/7/2017 9:25,58.7,35.7,1.7,None,0,37%
37,East Lansing (MSUHort),4/8/2017 7:00,4/8/2017 8:05,1.2,35.7,0,None,0,0%
38,East Lansing (MSUHort),4/10/2017 23:15,4/11/2017 9:00,9.8,49.1,0,None,20.4,52%
39,East Lansing (MSUHort),4/12/2017 23:35,4/13/2017 0:05,0.6,45.6,0,None,23.6,3%
40,East Lansing (MSUHort),4/13/2017 5:50,4/13/2017 10:40,4.9,42.6,0,None,30,19%
41,East Lansing (MSUHort),4/14/2017 23:10,4/15/2017 0:05,1,48.2,0.09,None,21.2,5%
42,East Lansing (MSUHort),4/15/2017 4:15,4/15/2017 6:15,2.1,47.9,0.09,None,22,10%
43,East Lansing (MSUHort),4/17/2017 3:25,4/17/2017 7:15,3.9,39.9,0,None,0,4%
44,East Lansing (MSUHort),4/19/2017 6:20,4/19/2017 7:45,1.5,55.8,0.03,None,16.9,10%
45,East Lansing (MSUHort),4/19/2017 15:15,4/19/2017 21:45,6.6,51.9,0.08,None,19.2,47%
46,East Lansing (MSUHort),4/20/2017 5:15,4/20/2017 17:00,11.8,52.9,1.03,None,18.6,69%
47,East Lansing (MSUHort),4/22/2017 2:20,4/22/2017 7:20,5.1,37.2,0,None,0,0%
48,East Lansing (MSUHort),4/22/2017 22:25,4/23/2017 7:10,8.8,35.7,0,None,0,1%
49,East Lansing (MSUHort),4/24/2017 2:15,4/24/2017 7:25,5.3,40.3,0,None,34.8,9%
50,East Lansing (MSUHort),4/26/2017 22:05,4/26/2017 22:20,0.3,65.9,0.06,None,12.1,3%
51,East Lansing (MSUHort),4/29/2017 16:15,5/1/2017 8:15,40.1,44.2,1.45,Moderate,25.2,161%
52,East Lansing (MSUHort),5/1/2017 16:10,5/1/2017 17:10,1.1,52.8,0.02,None,18.6,6%
53,East Lansing (MSUHort),5/2/2017 2:20,5/2/2017 10:50,8.6,38.1,0.18,None,0,29%
54,East Lansing (MSUHort),5/2/2017 19:40,5/2/2017 20:25,0.8,41.6,0.01,None,32.4,3%
55,East Lansing (MSUHort),5/3/2017 3:30,5/3/2017 6:50,3.4,35.6,0,None,0,0%
56,East Lansing (MSUHort),5/4/2017 8:10,5/5/2017 4:30,20.4,42.8,0.34,None,30,70%
57,East Lansing (MSUHort),5/5/2017 23:40,5/6/2017 6:25,6.8,39.5,0,None,0,6%
58,East Lansing (MSUHort),5/9/2017 0:00,5/9/2017 6:40,6.8,30.6,0,None,0,0%
59,East Lansing (MSUHort),5/10/2017 21:15,5/11/2017 4:15,7.1,45.9,0.17,None,23.6,33%
60,East Lansing (MSUHort),5/11/2017 12:10,5/11/2017 12:10,0.1,58.8,0.01,None,15.3,1%
61,East Lansing (MSUHort),5/11/2017 23:45,5/12/2017 6:25,6.8,40.7,0,None,34.8,12%
62,East Lansing (MSUHort),5/12/2017 22:25,5/12/2017 22:25,0.1,57.5,0,None,15.8,1%
63,East Lansing (MSUHort),5/13/2017 1:30,5/13/2017 6:55,5.5,45.9,0,None,23.6,23%
64,East Lansing (MSUHort),5/15/2017 0:10,5/15/2017 6:35,6.5,42.4,0,None,30,18%
65,East Lansing (MSUHort),5/16/2017 1:10,5/16/2017 5:30,4.4,45.6,0.05,None,23.6,25%
66,East Lansing (MSUHort),5/19/2017 15:55,5/19/2017 19:05,3.3,46.4,0,None,22.8,16%
67,East Lansing (MSUHort),5/20/2017 13:55,5/20/2017 15:45,1.9,55.9,0.15,None,16.9,12%
68,East Lansing (MSUHort),5/20/2017 23:20,5/21/2017 12:20,13.1,57,0.84,None,15.8,85%
69,East Lansing (MSUHort),5/23/2017 3:20,5/23/2017 5:00,1.8,56.6,0.01,None,16.4,11%
70,East Lansing (MSUHort),5/23/2017 14:30,5/24/2017 10:45,20.3,48.2,0.01,Low,21.2,128%
71,East Lansing (MSUHort),5/24/2017 16:25,5/25/2017 12:50,20.5,56.1,0.57,Low,16.4,131%
72,East Lansing (MSUHort),5/25/2017 17:55,5/25/2017 18:15,0.4,60,0,None,14.3,3%
73,East Lansing (MSUHort),5/25/2017 20:35,5/25/2017 21:45,1.3,57.7,0,None,15.8,8%
74,East Lansing (MSUHort),5/27/2017 0:10,5/27/2017 6:30,6.4,55.9,0,None,16.9,40%
75,East Lansing (MSUHort),5/27/2017 21:35,5/28/2017 7:10,9.7,57.7,0,None,15.8,62%
76,East Lansing (MSUHort),5/28/2017 23:30,5/29/2017 6:50,7.4,55.1,0,None,16.9,43%
77,East Lansing (MSUHort),5/29/2017 22:00,5/30/2017 6:35,8.7,51.7,0,None,19.2,45%
78,East Lansing (MSUHort),5/30/2017 21:50,5/31/2017 6:35,8.8,49.1,0,None,20.4,44%
79,East Lansing (MSUHort),5/31/2017 21:05,6/1/2017 6:45,9.8,50.9,0,None,19.8,50%
80,East Lansing (MSUHort),6/1/2017 21:50,6/2/2017 6:40,8.9,47.4,0,None,22,40%
81,East Lansing (MSUHort),6/2/2017 23:10,6/3/2017 8:00,8.9,52.1,0,None,18.6,48%
82,East Lansing (MSUHort),6/4/2017 5:20,6/4/2017 8:55,3.7,59.9,0.06,None,14.8,28%
83,East Lansing (MSUHort),6/4/2017 21:50,6/5/2017 8:35,10.8,60.3,0,None,14.3,76%
84,East Lansing (MSUHort),6/5/2017 19:55,6/6/2017 5:55,10.1,51.3,0,None,19.2,52%
85,East Lansing (MSUHort),6/6/2017 22:50,6/7/2017 6:25,7.7,51.8,0,None,19.2,40%
86,East Lansing (MSUHort),6/7/2017 20:50,6/8/2017 6:35,9.8,46.4,0,None,22.8,49%
87,East Lansing (MSUHort),6/9/2017 0:20,6/9/2017 8:40,8.4,55,0.02,None,16.9,52%
88,East Lansing (MSUHort),6/9/2017 21:25,6/10/2017 7:00,9.7,58.2,0,None,15.3,63%
89,East Lansing (MSUHort),6/13/2017 3:20,6/13/2017 4:20,1.1,67.7,0,None,11.3,10%
90,East Lansing (MSUHort),6/14/2017 8:05,6/14/2017 9:35,1.6,60.3,0.15,None,14.3,15%
91,East Lansing (MSUHort),6/15/2017 2:15,6/15/2017 7:20,5.2,67.9,0,None,11.3,47%
92,East Lansing (MSUHort),6/15/2017 21:45,6/16/2017 7:55,10.3,63.9,0.03,None,13,81%
93,East Lansing (MSUHort),6/16/2017 20:55,6/17/2017 4:50,8,63.7,0,None,13,62%
94,East Lansing (MSUHort),6/17/2017 18:50,6/18/2017 5:15,10.5,68.2,1.08,Low,10.8,102%
95,East Lansing (MSUHort),6/18/2017 22:00,6/19/2017 6:30,8.6,59.4,0,None,14.8,58%
96,East Lansing (MSUHort),6/19/2017 11:40,6/19/2017 13:45,2.2,43.1,0,None,27.6,23%
97,East Lansing (MSUHort),6/20/2017 1:55,6/20/2017 6:50,5,56.5,0,None,16.4,31%
98,East Lansing (MSUHort),6/20/2017 15:30,6/21/2017 7:10,15.8,48.9,0.04,None,21.2,88%
99,East Lansing (MSUHort),6/22/2017 0:00,6/22/2017 4:45,4.8,59.1,0,None,14.8,32%
100,East Lansing (MSUHort),6/22/2017 20:15,6/23/2017 11:45,15.6,68.6,1.65,Low,10.8,157%
101,East Lansing (MSUHort),6/23/2017 22:05,6/24/2017 6:55,8.9,51.8,0,None,19.2,64%
102,East Lansing (MSUHort),6/25/2017 0:50,6/25/2017 5:45,5,55.1,0,None,16.9,29%
103,East Lansing (MSUHort),6/25/2017 22:05,6/26/2017 7:50,9.8,52.8,0,None,18.6,53%
104,East Lansing (MSUHort),6/26/2017 19:15,6/26/2017 19:30,0.3,59.2,0.02,None,14.8,2%
105,East Lansing (MSUHort),6/27/2017 0:55,6/27/2017 7:45,6.9,46.6,0,None,22.8,35%
106,East Lansing (MSUHort),6/27/2017 22:00,6/28/2017 7:15,9.3,49.5,0,None,20.4,46%
107,East Lansing (MSUHort),6/28/2017 19:10,6/28/2017 20:50,1.8,55.9,0,None,16.9,16%
108,East Lansing (MSUHort),6/28/2017 23:05,6/29/2017 7:10,8.2,61.4,0.1,None,13.9,65%
109,East Lansing (MSUHort),6/30/2017 0:30,6/30/2017 9:40,9.3,68.2,0.13,None,10.8,85%
110,East Lansing (MSUHort),6/30/2017 18:35,7/1/2017 8:15,13.8,68.1,0.01,Low,10.8,126%
111,East Lansing (MSUHort),7/1/2017 22:10,7/2/2017 7:50,9.8,61.7,0,None,13.9,71%
112,East Lansing (MSUHort),7/2/2017 17:35,7/2/2017 17:40,0.2,74.4,0,None,8.1,2%
113,East Lansing (MSUHort),7/2/2017 20:25,7/3/2017 8:40,12.3,63.8,0.01,None,13,96%
114,East Lansing (MSUHort),7/3/2017 22:15,7/4/2017 7:55,9.8,58.2,0,None,15.3,63%
115,East Lansing (MSUHort),7/4/2017 22:05,7/5/2017 8:05,10.1,53.8,0,None,18.1,69%
116,East Lansing (MSUHort),7/5/2017 21:40,7/6/2017 9:05,11.5,60.6,0,None,14.3,81%
117,East Lansing (MSUHort),7/6/2017 23:25,7/7/2017 9:05,9.8,66.8,1.54,None,11.7,85%
118,East Lansing (MSUHort),7/7/2017 18:00,7/7/2017 18:20,0.4,79,0,None,8.8,5%
119,East Lansing (MSUHort),7/8/2017 5:05,7/8/2017 5:25,0.4,61.3,0,None,13.9,3%
120,East Lansing (MSUHort),7/8/2017 23:30,7/9/2017 7:55,8.5,54.7,0,None,17.5,49%
121,East Lansing (MSUHort),7/10/2017 8:10,7/10/2017 15:25,7.3,67.3,0.25,None,11.3,65%
122,East Lansing (MSUHort),7/10/2017 21:00,7/11/2017 9:45,12.8,67.5,0,Low,11.3,115%
123,East Lansing (MSUHort),7/11/2017 20:50,7/12/2017 14:35,17.8,71.2,0.38,Moderate,9.4,187%
124,East Lansing (MSUHort),7/12/2017 21:10,7/13/2017 12:00,14.9,72.8,0.34,Moderate,9,170%
125,East Lansing (MSUHort),7/13/2017 21:55,7/14/2017 8:50,11,67.2,0,None,11.3,98%
126,East Lansing (MSUHort),7/14/2017 23:05,7/15/2017 8:35,9.6,59.7,0,None,14.8,66%
127,East Lansing (MSUHort),7/17/2017 21:05,7/18/2017 8:50,11.8,59.9,0,None,14.8,81%
128,East Lansing (MSUHort),7/18/2017 21:35,7/19/2017 8:45,11.3,65.8,0,None,12.1,95%
129,East Lansing (MSUHort),7/19/2017 21:35,7/20/2017 11:15,13.8,68,0,Low,10.8,150%
130,East Lansing (MSUHort),7/20/2017 21:25,7/21/2017 8:20,11,67.8,0,Low,11.3,100%
131,East Lansing (MSUHort),7/21/2017 23:25,7/22/2017 15:35,16.3,56,0.13,Low,16.4,181%
132,East Lansing (MSUHort),7/22/2017 22:50,7/23/2017 10:50,12.1,67.4,0,Low,11.3,107%
133,East Lansing (MSUHort),7/24/2017 0:20,7/24/2017 6:00,5.8,61.5,0,None,13.9,47%
134,East Lansing (MSUHort),7/24/2017 21:15,7/25/2017 8:25,11.3,54.5,0,None,17.5,65%
135,East Lansing (MSUHort),7/25/2017 21:30,7/26/2017 8:30,11.1,59.3,0,None,14.8,75%
136,East Lansing (MSUHort),7/27/2017 0:30,7/27/2017 0:55,0.5,67.3,0,None,11.3,4%
137,East Lansing (MSUHort),7/28/2017 0:50,7/28/2017 9:05,8.3,59.3,0,None,14.8,61%
138,East Lansing (MSUHort),7/29/2017 0:05,7/29/2017 8:00,8,53.3,0,None,18.1,44%
139,East Lansing (MSUHort),7/29/2017 22:20,7/30/2017 8:20,10.1,55.8,0,None,16.9,61%
140,East Lansing (MSUHort),7/30/2017 23:25,7/31/2017 8:25,9.1,53,0,None,18.1,59%
141,East Lansing (MSUHort),8/1/2017 0:45,8/1/2017 8:10,7.5,58.7,0,None,15.3,49%
142,East Lansing (MSUHort),8/2/2017 1:20,8/2/2017 8:00,6.8,64.4,0,None,12.6,53%
143,East Lansing (MSUHort),8/2/2017 13:20,8/2/2017 13:45,0.5,76,0.06,None,7.3,6%
144,East Lansing (MSUHort),8/2/2017 23:05,8/3/2017 9:05,10.1,61.5,0,None,13.9,74%
145,East Lansing (MSUHort),8/3/2017 16:55,8/4/2017 8:45,15.9,63.6,0.29,Low,13,137%
146,East Lansing (MSUHort),8/4/2017 17:00,8/4/2017 20:50,3.9,48.2,0.02,None,21.2,27%
147,East Lansing (MSUHort),8/5/2017 2:05,8/5/2017 8:25,6.4,54.5,0,None,17.5,37%
148,East Lansing (MSUHort),8/5/2017 18:00,8/5/2017 18:05,0.2,66.9,0,None,11.7,1%
149,East Lansing (MSUHort),8/5/2017 20:50,8/6/2017 9:10,12.4,55.6,0,None,16.9,74%
150,East Lansing (MSUHort),8/6/2017 21:25,8/7/2017 12:05,14.8,57.4,0.02,Low,15.8,103%
151,East Lansing (MSUHort),8/7/2017 18:20,8/8/2017 8:35,14.3,52.5,0.02,None,18.6,83%
152,East Lansing (MSUHort),8/8/2017 23:20,8/9/2017 8:25,9.2,55.2,0,None,16.9,54%
153,East Lansing (MSUHort),8/9/2017 22:35,8/10/2017 8:45,10.3,57.6,0,None,15.8,65%
154,East Lansing (MSUHort),8/11/2017 2:55,8/11/2017 9:20,6.5,63.9,0.15,None,13,51%
155,East Lansing (MSUHort),8/11/2017 15:05,8/11/2017 15:05,0.1,75.3,0,None,7.7,1%
156,East Lansing (MSUHort),8/12/2017 0:35,8/12/2017 8:55,8.4,60.3,0,None,14.3,59%
157,East Lansing (MSUHort),8/12/2017 17:30,8/12/2017 17:50,0.4,71.6,0,None,9.4,4%
158,East Lansing (MSUHort),8/12/2017 20:05,8/13/2017 8:40,12.7,57,0.01,None,15.8,80%
159,East Lansing (MSUHort),8/13/2017 22:15,8/14/2017 0:05,1.9,62.6,0,None,13.4,14%
160,East Lansing (MSUHort),8/14/2017 6:45,8/14/2017 7:05,0.4,60.1,0,None,14.3,3%
161,East Lansing (MSUHort),8/14/2017 23:45,8/15/2017 9:30,9.8,62.8,0.31,None,13.4,74%
162,East Lansing (MSUHort),8/15/2017 21:00,8/16/2017 8:00,11.1,61.7,0,None,13.9,80%
163,East Lansing (MSUHort),8/17/2017 4:55,8/17/2017 14:05,9.3,65.8,0.2,None,12.1,100%
164,East Lansing (MSUHort),8/17/2017 18:35,8/17/2017 18:35,0.1,78.9,0,None,8.1,1%
165,East Lansing (MSUHort),8/18/2017 0:15,8/18/2017 4:00,3.8,65.9,0.08,None,12.1,37%
166,East Lansing (MSUHort),8/18/2017 9:35,8/18/2017 10:00,0.5,65.4,0,None,12.1,4%
167,East Lansing (MSUHort),8/18/2017 22:20,8/19/2017 8:45,10.5,61.3,0,None,13.9,75%
168,East Lansing (MSUHort),8/19/2017 21:30,8/20/2017 9:00,11.6,57.6,0,None,15.8,74%
169,East Lansing (MSUHort),8/20/2017 22:30,8/21/2017 8:40,10.3,64.5,0,None,12.6,82%
170,East Lansing (MSUHort),8/21/2017 21:50,8/22/2017 14:25,16.7,57.9,0.12,Low,15.8,175%
171,East Lansing (MSUHort),8/22/2017 23:00,8/23/2017 8:20,9.4,56.7,0,None,16.4,58%
172,East Lansing (MSUHort),8/24/2017 0:55,8/24/2017 9:05,8.3,48.5,0,None,21.2,39%
173,East Lansing (MSUHort),8/24/2017 20:35,8/25/2017 9:05,12.6,46.1,0,None,22.8,53%
174,East Lansing (MSUHort),8/25/2017 21:00,8/26/2017 8:50,11.9,48.5,0,None,21.2,56%
175,East Lansing (MSUHort),8/28/2017 7:00,8/28/2017 14:25,7.5,59.8,0.08,None,14.8,55%
176,East Lansing (MSUHort),8/28/2017 22:45,8/29/2017 12:40,14,58.4,0,None,15.3,92%
177,East Lansing (MSUHort),8/29/2017 21:15,8/30/2017 9:40,12.5,57.8,0.01,None,15.8,80%
178,East Lansing (MSUHort),8/31/2017 1:35,8/31/2017 7:25,5.9,60.6,0,None,14.3,43%
179,East Lansing (MSUHort),9/1/2017 1:25,9/1/2017 9:10,7.8,45.8,0,None,23.6,33%
180,East Lansing (MSUHort),9/2/2017 1:50,9/2/2017 8:55,7.2,46.5,0,None,22.8,31%
181,East Lansing (MSUHort),9/2/2017 21:45,9/2/2017 23:35,1.9,51.2,0,None,19.2,14%
182,East Lansing (MSUHort),9/3/2017 3:55,9/3/2017 6:05,2.3,54.8,0,None,17.5,13%
183,East Lansing (MSUHort),9/4/2017 18:55,9/4/2017 19:05,0.3,67.6,0,None,11.3,2%
184,East Lansing (MSUHort),9/4/2017 21:05,9/5/2017 9:00,12,54.8,0.03,None,17.5,70%
185,East Lansing (MSUHort),9/5/2017 13:40,9/5/2017 14:00,0.4,59.5,0.16,None,14.8,3%
186,East Lansing (MSUHort),9/6/2017 0:25,9/6/2017 9:30,9.2,44.8,0,None,25.2,36%
187,East Lansing (MSUHort),9/6/2017 17:15,9/6/2017 18:10,1,59.1,0,None,14.8,7%
188,East Lansing (MSUHort),9/6/2017 20:30,9/7/2017 9:15,12.8,47.3,0,None,22,58%
189,East Lansing (MSUHort),9/7/2017 14:40,9/8/2017 9:05,18.5,50.3,0.37,None,19.8,93%
190,East Lansing (MSUHort),9/8/2017 20:40,9/9/2017 9:00,12.4,43.8,0,None,27.6,37%
191,East Lansing (MSUHort),9/9/2017 20:55,9/10/2017 9:15,12.4,43.2,0,None,27.6,35%
192,East Lansing (MSUHort),9/10/2017 20:20,9/11/2017 9:55,13.7,45.9,0.01,None,23.6,57%
193,East Lansing (MSUHort),9/11/2017 21:05,9/12/2017 9:05,12.1,48.2,0,None,21.2,56%
194,East Lansing (MSUHort),9/12/2017 20:20,9/13/2017 8:15,12,51.5,0,None,19.2,63%
195,East Lansing (MSUHort),9/13/2017 11:25,9/13/2017 11:30,0.2,67,0,None,11.3,1%
196,East Lansing (MSUHort),9/13/2017 20:15,9/14/2017 11:00,14.8,55.8,0,None,16.9,89%
197,East Lansing (MSUHort),9/14/2017 21:20,9/15/2017 9:35,12.3,57.1,0,None,15.8,77%
198,East Lansing (MSUHort),9/15/2017 20:40,9/16/2017 9:10,12.6,57.8,0,None,15.8,81%
199,East Lansing (MSUHort),9/17/2017 1:45,9/17/2017 9:15,7.6,60.2,0,None,14.3,52%
200,East Lansing (MSUHort),9/17/2017 18:10,9/18/2017 11:50,17.8,52.9,0.01,Low,18.6,161%
201,East Lansing (MSUHort),9/18/2017 22:30,9/19/2017 5:25,7,59.5,0,None,14.8,47%
202,East Lansing (MSUHort),9/19/2017 9:40,9/19/2017 12:30,2.9,60.3,0,None,14.3,21%
203,East Lansing (MSUHort),9/19/2017 20:05,9/20/2017 9:30,13.5,66.1,0.07,Low,11.7,115%
204,East Lansing (MSUHort),9/21/2017 6:15,9/21/2017 8:45,2.6,67.7,0,None,11.3,23%
205,East Lansing (MSUHort),9/21/2017 17:45,9/22/2017 9:05,15.4,63.9,0.46,Low,13,136%
206,East Lansing (MSUHort),9/22/2017 22:25,9/23/2017 9:05,10.8,64.8,0,None,12.6,87%
207,East Lansing (MSUHort),9/23/2017 23:15,9/24/2017 8:45,9.6,61.4,0,None,13.9,69%
208,East Lansing (MSUHort),9/25/2017 0:00,9/25/2017 9:05,9.2,63.5,0,None,13,71%
209,East Lansing (MSUHort),9/26/2017 0:05,9/26/2017 9:10,9.2,62.5,0,None,13.4,69%
